article_name,primary_fraud_type_semantic,secondary_fraud_types_semantic,semantic_mention_counts_json,jurisdictions_json,sectors_json,channels_json,programs_json,actors_json,has_sar_guidance,has_regulatory_context,sar_guidance_json,regulatory_context_json,related_documents_json,quantitative_notes_json,fincen_id,doc_title,doc_date,doc_type,pdf_url,num_pages,num_chunks,total_chunks,high_signal_chunks
Consolidated%20COVID-19%20Notice%20508%20Final.pdf,ransomware_cyber,fraud_government_programs | elder_romance_scam,"{""ransomware_cyber"": 27, ""money_laundering"": 6, ""bulk_cash_smuggling"": 2, ""proliferation_financing"": 2, ""terrorist_financing"": 4, ""structuring_smurfing"": 1, ""fraud_government_programs"": 22, ""corruption_bribery"": 7, ""sanctions_evasion"": 4, ""shell_front_companies"": 4, ""human_trafficking"": 6, ""elder_romance_scam"": 20, ""trade_based_money_laundering"": 6, ""correspondent_banking"": 6, ""human_smuggling"": 1, ""virtual_assets_crypto"": 3}","[""United States""]","[""insurance""]",[],"[""eip"", ""ppp"", ""unemployment_insurance""]","[""money_mule""]",True,False,{},{},[],[],FIN-2021-NTC1,Consolidated COVID-19 Suspicious Activity Report Key Terms and Filing Instructions,2/24/2021,notice,https://www.fincen.gov/system/files/shared/Consolidated%20COVID-19%20Notice%20508%20Final.pdf,4,85,85,4
Cyber%20Threats%20Advisory%20-%20FINAL%20508_2.pdf,ransomware_cyber,money_laundering,"{""money_laundering"": 44, ""ransomware_cyber"": 66, ""virtual_assets_crypto"": 22, ""terrorist_financing"": 18, ""structuring_smurfing"": 13, ""sanctions_evasion"": 17, ""fraud_government_programs"": 5, ""elder_romance_scam"": 3, ""synthetic_identity"": 6, ""shell_front_companies"": 6, ""human_trafficking"": 9, ""trade_based_money_laundering"": 7, ""bulk_cash_smuggling"": 7, ""correspondent_banking"": 13, ""proliferation_financing"": 1, ""corruption_bribery"": 1, ""human_smuggling"": 1}","[""United States""]","[""depository_institution"", ""insurance"", ""msb""]","[""ach"", ""card"", ""virtual_assets"", ""wire""]",[],[],True,True,{},{},[],[],FIN-2016-A005,FinCEN Advisory - FIN-2016-A005,10/25/2016,advisory,https://www.fincen.gov/system/files/advisory/2016-10-25/Cyber%20Threats%20Advisory%20-%20FINAL%20508_2.pdf,9,131,131,22
DPRK%20Advisory%20FINAL%20508%20C.pdf,trade_based_money_laundering,money_laundering | bulk_cash_smuggling | correspondent_banking | proliferation_financing | sanctions_evasion,"{""proliferation_financing"": 23, ""trade_based_money_laundering"": 55, ""money_laundering"": 43, ""shell_front_companies"": 14, ""structuring_smurfing"": 2, ""terrorist_financing"": 11, ""sanctions_evasion"": 22, ""corruption_bribery"": 4, ""bulk_cash_smuggling"": 28, ""fraud_government_programs"": 3, ""correspondent_banking"": 23, ""virtual_assets_crypto"": 6, ""human_trafficking"": 6, ""human_smuggling"": 3, ""elder_romance_scam"": 1, ""synthetic_identity"": 1, ""ransomware_cyber"": 3}","[""China"", ""North Korea"", ""Russia"", ""United States""]","[""depository_institution""]","[""ach"", ""wire""]",[],"[""front_company"", ""shell_company""]",True,True,{},{},[],[],FIN-2017-A008,FinCEN Advisory FIN-2017-A008,11/02/2017,advisory,https://www.fincen.gov/system/files/advisory/2017-11-02/DPRK%20Advisory%20FINAL%20508%20C.pdf,11,140,140,16
DPRK%20Financing%20Advisory%20%28v16%29%2Blanguage2.pdf,trade_based_money_laundering,money_laundering | correspondent_banking | proliferation_financing | sanctions_evasion | bulk_cash_smuggling,"{""proliferation_financing"": 21, ""trade_based_money_laundering"": 37, ""money_laundering"": 34, ""shell_front_companies"": 9, ""terrorist_financing"": 8, ""sanctions_evasion"": 18, ""ransomware_cyber"": 4, ""bulk_cash_smuggling"": 17, ""corruption_bribery"": 3, ""fraud_government_programs"": 2, ""structuring_smurfing"": 2, ""correspondent_banking"": 20, ""human_trafficking"": 7, ""elder_romance_scam"": 1, ""virtual_assets_crypto"": 2, ""synthetic_identity"": 1}","[""China"", ""North Korea"", ""Russia"", ""United States""]","[""depository_institution""]","[""ach"", ""wire""]",[],"[""front_company""]",True,True,{},{},[],[],FIN-2017-A007,FinCEN Advisory FIN-2017-A007,09/22/2017,advisory,https://www.fincen.gov/system/files/advisory/2017-09-22/DPRK%20Financing%20Advisory%20%28v16%29%2Blanguage2.pdf,9,80,80,14
FAFT_Advisory_March_final_508.pdf,sanctions_evasion,proliferation_financing | money_laundering | trade_based_money_laundering,"{""money_laundering"": 37, ""terrorist_financing"": 21, ""sanctions_evasion"": 57, ""human_trafficking"": 5, ""trade_based_money_laundering"": 32, ""bulk_cash_smuggling"": 6, ""virtual_assets_crypto"": 5, ""proliferation_financing"": 49, ""ransomware_cyber"": 5, ""structuring_smurfing"": 10, ""corruption_bribery"": 1, ""fraud_government_programs"": 2, ""shell_front_companies"": 4, ""correspondent_banking"": 17}","[""Iran"", ""North Korea"", ""Russia"", ""United States""]","[""casino"", ""depository_institution"", ""insurance"", ""msb"", ""securities""]","[""ach"", ""card"", ""wire""]",[],[],True,True,{},{},[],[],FIN-2019-A001,FinCEN Advisory FIN-2019-A001,03/08/2019,advisory,https://www.fincen.gov/system/files/advisory/2019-03-08/FAFT_Advisory_March_final_508.pdf,12,155,155,16
FATF%20Advisory%20June%202019%20FINAL%20508.pdf,sanctions_evasion,money_laundering | proliferation_financing | trade_based_money_laundering,"{""money_laundering"": 40, ""terrorist_financing"": 24, ""human_trafficking"": 5, ""trade_based_money_laundering"": 33, ""bulk_cash_smuggling"": 5, ""proliferation_financing"": 47, ""sanctions_evasion"": 69, ""ransomware_cyber"": 6, ""structuring_smurfing"": 9, ""corruption_bribery"": 2, ""fraud_government_programs"": 2, ""shell_front_companies"": 4, ""correspondent_banking"": 15, ""virtual_assets_crypto"": 4}","[""China"", ""Iran"", ""North Korea"", ""Panama"", ""Russia"", ""United States""]","[""casino"", ""depository_institution"", ""insurance"", ""msb"", ""securities""]","[""ach"", ""card"", ""wire""]",[],[],True,True,{},{},[],[],FIN-2019-A004,FinCEN Advisory FIN-2019-A004,07/12/2019,advisory,https://www.fincen.gov/system/files/advisory/2019-07-12/FATF%20Advisory%20June%202019%20FINAL%20508.pdf,14,171,171,18
FATF%20Advisory%20Oct_FINAL%20508.pdf,sanctions_evasion,money_laundering | proliferation_financing | trade_based_money_laundering,"{""money_laundering"": 37, ""terrorist_financing"": 21, ""sanctions_evasion"": 51, ""human_trafficking"": 6, ""trade_based_money_laundering"": 26, ""bulk_cash_smuggling"": 6, ""virtual_assets_crypto"": 6, ""proliferation_financing"": 40, ""ransomware_cyber"": 5, ""structuring_smurfing"": 7, ""corruption_bribery"": 2, ""fraud_government_programs"": 3, ""correspondent_banking"": 16, ""shell_front_companies"": 5}","[""Iran"", ""North Korea"", ""United States""]","[""casino"", ""depository_institution"", ""insurance"", ""msb"", ""securities""]","[""ach"", ""card"", ""wire""]",[],[],True,True,{},{},[],[],FIN-2018-A007,FinCEN Advisory FIN-2018-A007,10/31/2018,advisory,https://www.fincen.gov/system/files/advisory/2018-10-31/FATF%20Advisory%20Oct_FINAL%20508.pdf,11,141,141,14
FATF%20Advisory%20October%202019%20FINAL_508.pdf,sanctions_evasion,proliferation_financing | money_laundering | trade_based_money_laundering,"{""money_laundering"": 44, ""terrorist_financing"": 28, ""human_trafficking"": 5, ""trade_based_money_laundering"": 38, ""bulk_cash_smuggling"": 6, ""proliferation_financing"": 67, ""sanctions_evasion"": 73, ""ransomware_cyber"": 7, ""structuring_smurfing"": 9, ""corruption_bribery"": 4, ""fraud_government_programs"": 2, ""correspondent_banking"": 14, ""virtual_assets_crypto"": 6, ""shell_front_companies"": 4}","[""Canada"", ""China"", ""Iran"", ""North Korea"", ""Panama"", ""United States""]","[""casino"", ""depository_institution"", ""insurance"", ""msb"", ""securities""]","[""ach"", ""card"", ""wire""]",[],"[""front_company""]",True,True,{},{},[],[],FIN-2019-A007,FinCEN Advisory FIN-2019-A007,11/12/2019,advisory,https://www.fincen.gov/system/files/advisory/2019-11-12/FATF%20Advisory%20October%202019%20FINAL_508.pdf,17,201,201,19
FATF%20Advisory_FIN-2018-001_0.pdf,sanctions_evasion,money_laundering | trade_based_money_laundering | proliferation_financing,"{""sanctions_evasion"": 38, ""money_laundering"": 27, ""trade_based_money_laundering"": 23, ""terrorist_financing"": 13, ""structuring_smurfing"": 5, ""fraud_government_programs"": 5, ""proliferation_financing"": 24, ""human_trafficking"": 4, ""correspondent_banking"": 12, ""ransomware_cyber"": 2, ""virtual_assets_crypto"": 4, ""bulk_cash_smuggling"": 4, ""shell_front_companies"": 1}","[""Iran"", ""North Korea"", ""United States""]","[""casino"", ""depository_institution"", ""insurance"", ""msb"", ""securities""]","[""ach"", ""card""]",[],"[""tco""]",True,True,{},{},[],[],FIN-2018-A001,FinCEN Advisory FIN-2018-A001,02/09/2018,advisory,https://www.fincen.gov/system/files/advisory/2018-02-12/FATF%20Advisory_FIN-2018-001_0.pdf,9,108,108,10
FATF%20February%202020%20Advisory%20FINAL%20508_0.pdf,sanctions_evasion,money_laundering | trade_based_money_laundering,"{""money_laundering"": 29, ""terrorist_financing"": 14, ""sanctions_evasion"": 39, ""human_trafficking"": 3, ""trade_based_money_laundering"": 19, ""bulk_cash_smuggling"": 4, ""virtual_assets_crypto"": 3, ""proliferation_financing"": 14, ""ransomware_cyber"": 3, ""structuring_smurfing"": 9, ""fraud_government_programs"": 5, ""corruption_bribery"": 3, ""human_smuggling"": 1, ""correspondent_banking"": 12, ""shell_front_companies"": 1}","[""Iran"", ""North Korea"", ""Panama"", ""United States""]","[""casino"", ""depository_institution"", ""insurance"", ""msb"", ""securities""]","[""ach"", ""card"", ""wire""]",[],[],True,True,{},{},[],[],FIN-2020-A001,FinCEN Advisory FIN-2020-A001,03/26/2020,advisory,https://www.fincen.gov/system/files/advisory/2020-03-25/FATF%20February%202020%20Advisory%20FINAL%20508_0.pdf,8,100,100,15
FATF%20February%202021%20Advisory%20FINAL%20508.pdf,sanctions_evasion,money_laundering | trade_based_money_laundering,"{""money_laundering"": 17, ""sanctions_evasion"": 23, ""trade_based_money_laundering"": 10, ""bulk_cash_smuggling"": 3, ""terrorist_financing"": 5, ""proliferation_financing"": 6, ""virtual_assets_crypto"": 3, ""structuring_smurfing"": 4, ""corruption_bribery"": 2, ""human_smuggling"": 1, ""correspondent_banking"": 2, ""fraud_government_programs"": 3, ""shell_front_companies"": 1, ""human_trafficking"": 1, ""ransomware_cyber"": 2}","[""Iran"", ""North Korea"", ""Panama"", ""United States""]","[""casino"", ""depository_institution"", ""insurance"", ""msb"", ""securities""]","[""ach"", ""card""]",[],"[""tco""]",True,True,{},{},[],[],FIN-2021-A003,FinCEN Advisory FIN-2021-A003,03/11/2021,advisory,https://www.fincen.gov/system/files/advisory/2021-03-11/FATF%20February%202021%20Advisory%20FINAL%20508.pdf,5,51,51,12
FATF%20October%202020%20Advisory%20FINAL%20508.pdf,money_laundering,sanctions_evasion | trade_based_money_laundering,"{""money_laundering"": 16, ""terrorist_financing"": 6, ""sanctions_evasion"": 17, ""trade_based_money_laundering"": 11, ""proliferation_financing"": 5, ""structuring_smurfing"": 6, ""human_trafficking"": 2, ""bulk_cash_smuggling"": 3, ""virtual_assets_crypto"": 2, ""shell_front_companies"": 2, ""corruption_bribery"": 2, ""human_smuggling"": 1, ""correspondent_banking"": 3, ""fraud_government_programs"": 1, ""ransomware_cyber"": 2}","[""Iran"", ""North Korea"", ""Panama"", ""United States""]","[""casino"", ""depository_institution"", ""insurance"", ""msb"", ""securities""]","[""ach"", ""card""]",[],[],True,True,{},{},[],[],FIN-2020-A009,FinCEN Advisory FIN-2020-A009,11/06/2020,advisory,https://www.fincen.gov/system/files/advisory/2020-11-06/FATF%20October%202020%20Advisory%20FINAL%20508.pdf,4,45,45,12
FATF_Advisory_September_2018_FINAL_508_0.pdf,sanctions_evasion,money_laundering | proliferation_financing | trade_based_money_laundering,"{""sanctions_evasion"": 46, ""money_laundering"": 35, ""trade_based_money_laundering"": 24, ""terrorist_financing"": 15, ""structuring_smurfing"": 6, ""proliferation_financing"": 30, ""fraud_government_programs"": 1, ""human_trafficking"": 5, ""ransomware_cyber"": 5, ""correspondent_banking"": 11, ""bulk_cash_smuggling"": 7, ""virtual_assets_crypto"": 5, ""shell_front_companies"": 2, ""corruption_bribery"": 1}","[""Iran"", ""North Korea"", ""United States""]","[""casino"", ""depository_institution"", ""insurance"", ""msb"", ""securities""]","[""ach"", ""card"", ""wire""]",[],"[""courier""]",True,True,{},{},[],[],FIN-2018-A004,FinCEN Advisory FIN-2018-A004,09/21/2018,advisory,https://www.fincen.gov/system/files/advisory/2018-09-21/FATF_Advisory_September_2018_FINAL_508_0.pdf,12,134,134,17
FATF_June_2020_Advisory_FINAL_508.pdf,money_laundering,sanctions_evasion | trade_based_money_laundering,"{""money_laundering"": 20, ""terrorist_financing"": 6, ""sanctions_evasion"": 21, ""human_trafficking"": 2, ""trade_based_money_laundering"": 11, ""bulk_cash_smuggling"": 4, ""virtual_assets_crypto"": 2, ""proliferation_financing"": 6, ""corruption_bribery"": 3, ""fraud_government_programs"": 2, ""structuring_smurfing"": 4, ""human_smuggling"": 1, ""correspondent_banking"": 5, ""shell_front_companies"": 1, ""ransomware_cyber"": 2}","[""Iran"", ""North Korea"", ""Panama"", ""United States""]","[""casino"", ""depository_institution"", ""insurance"", ""msb"", ""securities""]","[""ach"", ""card""]",[],[],True,True,{},{},[],[],FIN-2020-A004,FinCEN Advisory FIN-2020-A004,07/14/2020,advisory,https://www.fincen.gov/system/files/advisory/2020-07-14/FATF_June_2020_Advisory_FINAL_508.pdf,4,52,52,11
FIN-2010-A009.pdf,money_laundering,terrorist_financing | sanctions_evasion | trade_based_money_laundering | proliferation_financing,"{""sanctions_evasion"": 20, ""money_laundering"": 25, ""terrorist_financing"": 21, ""trade_based_money_laundering"": 14, ""bulk_cash_smuggling"": 3, ""virtual_assets_crypto"": 2, ""proliferation_financing"": 14, ""ransomware_cyber"": 1, ""human_trafficking"": 2, ""structuring_smurfing"": 3, ""correspondent_banking"": 2}","[""Ukraine"", ""United States""]","[""depository_institution""]","[""ach""]",[],[],True,True,{},{},[],[],FIN-2010-A009,FinCEN Advisory – FIN-2010-A009,07/16/2010,advisory,https://www.fincen.gov/system/files/advisory/2016-07-13/FIN-2010-A009.pdf,12,61,61,4
FIN-2010-A010.pdf,money_laundering,sanctions_evasion | proliferation_financing | terrorist_financing | trade_based_money_laundering | correspondent_banking,"{""sanctions_evasion"": 20, ""money_laundering"": 19, ""terrorist_financing"": 13, ""ransomware_cyber"": 3, ""trade_based_money_laundering"": 13, ""bulk_cash_smuggling"": 2, ""virtual_assets_crypto"": 5, ""proliferation_financing"": 14, ""human_trafficking"": 1, ""structuring_smurfing"": 1, ""correspondent_banking"": 9}","[""Iran"", ""North Korea"", ""United States""]","[""depository_institution""]","[""ach""]",[],[],True,True,{},{},[],[],FIN-2010-A010,FinCEN Advisory – FIN-2010-A010,07/16/2010,advisory,https://www.fincen.gov/system/files/advisory/2016-07-13/FIN-2010-A010.pdf,5,55,55,2
FIN-2010-A012.pdf,money_laundering,sanctions_evasion | trade_based_money_laundering | correspondent_banking,"{""sanctions_evasion"": 12, ""money_laundering"": 13, ""terrorist_financing"": 6, ""trade_based_money_laundering"": 10, ""virtual_assets_crypto"": 1, ""ransomware_cyber"": 2, ""proliferation_financing"": 5, ""structuring_smurfing"": 1, ""correspondent_banking"": 5}","[""Iran"", ""North Korea"", ""United States""]","[""depository_institution""]","[""ach""]",[],[],True,True,{},{},[],[],FIN-2010-A012,FinCEN Advisory - FIN-2010-A012,11/20/2010,advisory,https://www.fincen.gov/system/files/advisory/FIN-2010-A012.pdf,5,28,28,2
FIN-2010-A013.pdf,money_laundering,sanctions_evasion | terrorist_financing | trade_based_money_laundering,"{""sanctions_evasion"": 21, ""money_laundering"": 24, ""terrorist_financing"": 17, ""trade_based_money_laundering"": 15, ""bulk_cash_smuggling"": 3, ""virtual_assets_crypto"": 1, ""ransomware_cyber"": 2, ""corruption_bribery"": 2, ""proliferation_financing"": 9, ""human_trafficking"": 1, ""correspondent_banking"": 2, ""structuring_smurfing"": 1}","[""Ukraine"", ""United States"", ""Venezuela""]","[""depository_institution""]","[""ach""]",[],"[""tco""]",True,True,{},{},[],[],FIN-2010-A013,FinCEN Advisory – FIN-2010-A013,11/20/2010,advisory,https://www.fincen.gov/system/files/advisory/FIN-2010-A013.pdf,15,50,50,6
FIN-2010-A014.pdf,money_laundering,sanctions_evasion | ransomware_cyber,"{""money_laundering"": 6, ""ransomware_cyber"": 4, ""bulk_cash_smuggling"": 1, ""sanctions_evasion"": 6, ""correspondent_banking"": 2, ""shell_front_companies"": 2, ""structuring_smurfing"": 2, ""human_trafficking"": 2, ""corruption_bribery"": 2, ""synthetic_identity"": 1}","[""United States""]","[""depository_institution""]","[""ach""]",[],[],True,True,{},{},[],[],FIN-2010-A014,FinCEN Advisory – FIN-2010-A014,11/23/2010,advisory,https://www.fincen.gov/system/files/advisory/FIN-2010-A014.pdf,2,15,15,3
