file,article_name,fincen_id,doc_type,doc_title,doc_date,source_csv,sha256,mode,pages,total_hits_regex,top_labels_regex,embedding_backend,embedding_model,sim_threshold,top_k,min_sim_floor
fincen_advisory_pdfs\Advisory_%20Imposter_and_Money_Mule_COVID_19_508_FINAL.pdf,Advisory_%20Imposter_and_Money_Mule_COVID_19_508_FINAL.pdf,FIN-2020-A003,Advisory,FinCEN Advisory FIN-2020-A003,07/07/2020,fincen_advisories.csv,04a4d829270609de42b65e14cfe95bce6f6380a698f60da066077ec5fbf2cf20,direct,8,19,money_laundering:19,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\advissu1.pdf,advissu1.pdf,,Advisory,FinCEN Advisory - Issue 1,03/01/1996,fincen_advisories.csv,b9780be812085d15f69fe974e3412c13b91f9f15ce22e81162677fc8bf8dd53e,direct,4,21,money_laundering:19; structuring_smurfing:2,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\advissu3.pdf,advissu3.pdf,,Advisory,FinCEN Advisory - Issue 3,06/01/1996,fincen_advisories.csv,7f051652bbd570c840aec7676f7529432f755eb37f4a896c55831e7364829c54,direct,9,2,money_laundering:2,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\advissu4.pdf,advissu4.pdf,,Advisory,FinCEN Advisory - Issue 4,08/01/1996,fincen_advisories.csv,b309a6d7dd0c15801ac2b1b8598d819498730e48eaadfc2bfa57345e169bda4d,direct,16,101,money_laundering:90; terrorist_financing:4; corruption_bribery:4; sanctions_evasion:3,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\advissu6.pdf,advissu6.pdf,,Advisory,FinCEN Advisory - Issue 6,10/01/1996,fincen_advisories.csv,692a526535aa8e69998a7d2a16517ecb48f52cb0a3cac41474eb9a90067ccf56,direct,3,2,money_laundering:2,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\advissu7.pdf,advissu7.pdf,,Advisory,FinCEN Advisory - Issue 7,01/01/1997,fincen_advisories.csv,95552de079a9d3f6c4841e86dd42933ee5ee591e9576839d1d2bae073d82b157,direct,8,5,money_laundering:5,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\advisu9.pdf,advisu9.pdf,,Advisory,FinCEN Advisory - Issue 9,11/01/1997,fincen_advisories.csv,1cef348cb2ebec643eac696945799f22f07658912771af5f22784b90ba98b99f,direct,6,12,money_laundering:10; structuring_smurfing:2,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\COVID-19%20Health%20Care%20508%20Final.pdf,COVID-19%20Health%20Care%20508%20Final.pdf,FIN-2021-A001,Advisory,FinCEN Advisory FIN-2021-A001,02/02/2021,fincen_advisories.csv,874438ad2960fee4c103f5975c0c883d1050a69986780f0c2fc1cb970cd4b73a,direct,8,58,money_laundering:28; healthcare_fraud:15; mortgage_financial_aid_fraud:9; corruption_bribery:5; structuring_smurfing:1,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\Cyber%20Threats%20Advisory%20-%20FINAL%20508_2.pdf,Cyber%20Threats%20Advisory%20-%20FINAL%20508_2.pdf,FIN-2016-A005,Advisory,FinCEN Advisory - FIN-2016-A005,10/25/2016,fincen_advisories.csv,9c9724ace9fb6eb2a0b0aebebb694633b92369a3c769615e003a7120262421dd,direct,9,89,money_laundering:86; terrorist_financing:1; ransomware:1; bec_business_email_compromise:1,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\DPRK%20Advisory%20FINAL%20508%20C.pdf,DPRK%20Advisory%20FINAL%20508%20C.pdf,FIN-2017-A008,Advisory,FinCEN Advisory FIN-2017-A008,11/02/2017,fincen_advisories.csv,4d3af1525bd9e751247b4a74cdc176271e4fff103e2ce9af052531dd23cea1d1,direct,11,107,terrorist_financing:46; money_laundering:31; sanctions_evasion:30,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\DPRK%20Financing%20Advisory%20%28v16%29%2Blanguage2.pdf,DPRK%20Financing%20Advisory%20%28v16%29%2Blanguage2.pdf,FIN-2017-A007,Advisory,FinCEN Advisory FIN-2017-A007,09/22/2017,fincen_advisories.csv,378d60ded469ac213d21ec79f188ceb5a0bd682c4defcac19e45253e80e83893,direct,9,91,terrorist_financing:45; sanctions_evasion:28; money_laundering:18,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\FAFT_Advisory_March_final_508.pdf,FAFT_Advisory_March_final_508.pdf,FIN-2019-A001,Advisory,FinCEN Advisory FIN-2019-A001,03/08/2019,fincen_advisories.csv,79a1a0fefffbfadc3a8f0c2708e03291e3b6eb985f789f00d57f7a015bb28752,direct,12,147,terrorist_financing:82; money_laundering:58; sanctions_evasion:6; corruption_bribery:1,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\faqsfinalciprule.pdf,faqsfinalciprule.pdf,,Advisory,Interagency Advisory - Issue 39,04/01/2005,fincen_advisories.csv,ee251dbf5340ed19d237bf7f0df04908253d6139960d2760d0ae192c32ba61ff,direct,14,4,money_laundering:2; terrorist_financing:2,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\FATF%20Advisory%20June%202019%20FINAL%20508.pdf,FATF%20Advisory%20June%202019%20FINAL%20508.pdf,FIN-2019-A004,Advisory,FinCEN Advisory FIN-2019-A004,07/12/2019,fincen_advisories.csv,c66d16f07d251657a6fad8e930cdda07b675fb293c6c8169860267db8f4957b2,direct,14,164,terrorist_financing:90; money_laundering:66; sanctions_evasion:7; corruption_bribery:1,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\FATF%20Advisory%20Oct_FINAL%20508.pdf,FATF%20Advisory%20Oct_FINAL%20508.pdf,FIN-2018-A007,Advisory,FinCEN Advisory FIN-2018-A007,10/31/2018,fincen_advisories.csv,1b121ac55f57775053b54ce871891e2b2733a777dfc86431969694b2a641dcdb,direct,11,140,terrorist_financing:79; money_laundering:55; sanctions_evasion:6,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\FATF%20Advisory%20October%202019%20FINAL_508.pdf,FATF%20Advisory%20October%202019%20FINAL_508.pdf,FIN-2019-A007,Advisory,FinCEN Advisory FIN-2019-A007,11/12/2019,fincen_advisories.csv,87cf6e3d0764fcb041471e773db7c6875da58eb6e3b264ac8e6c8379adc55366,direct,17,203,terrorist_financing:114; money_laundering:76; sanctions_evasion:10; corruption_bribery:2; ransomware:1,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\FATF%20Advisory_FIN-2018-001_0.pdf,FATF%20Advisory_FIN-2018-001_0.pdf,FIN-2018-A001,Advisory,FinCEN Advisory FIN-2018-A001,02/09/2018,fincen_advisories.csv,c80ea427f30e557a99d9b33ea9b116f1d59ebe3f853eb26d4be8a1bda833ed8a,direct,9,94,money_laundering:52; terrorist_financing:40; sanctions_evasion:2,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\FATF%20February%202020%20Advisory%20FINAL%20508_0.pdf,FATF%20February%202020%20Advisory%20FINAL%20508_0.pdf,FIN-2020-A001,Advisory,FinCEN Advisory FIN-2020-A001,03/26/2020,fincen_advisories.csv,23c83cde118be68f43ce3a49552de6954b93d52f5adea569094be19d90d22892,direct,8,91,money_laundering:51; terrorist_financing:38; sanctions_evasion:1; corruption_bribery:1,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\FATF%20February%202021%20Advisory%20FINAL%20508.pdf,FATF%20February%202021%20Advisory%20FINAL%20508.pdf,FIN-2021-A003,Advisory,FinCEN Advisory FIN-2021-A003,03/11/2021,fincen_advisories.csv,eea8a5de20f076c2f741f5357e0b292c1a131faddd4c6c8d36e0edf985607cf9,direct,5,47,money_laundering:35; terrorist_financing:11; corruption_bribery:1,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\FATF%20October%202020%20Advisory%20FINAL%20508.pdf,FATF%20October%202020%20Advisory%20FINAL%20508.pdf,FIN-2020-A009,Advisory,FinCEN Advisory FIN-2020-A009,11/06/2020,fincen_advisories.csv,a1c890f01c56ea6b6803bcfed34ed9e2fd5aed6087fe347d66a0e41ef5480431,direct,4,42,money_laundering:32; terrorist_financing:9; corruption_bribery:1,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\FATF_Advisory_September_2018_FINAL_508_0.pdf,FATF_Advisory_September_2018_FINAL_508_0.pdf,FIN-2018-A004,Advisory,FinCEN Advisory FIN-2018-A004,09/21/2018,fincen_advisories.csv,1364c6da25820c64aa281e316413aa7dace9a1e9fc39891a3a82e00b96d2b969,direct,12,163,terrorist_financing:91; money_laundering:66; sanctions_evasion:6,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\FATF_June_2020_Advisory_FINAL_508.pdf,FATF_June_2020_Advisory_FINAL_508.pdf,FIN-2020-A004,Advisory,FinCEN Advisory FIN-2020-A004,07/14/2020,fincen_advisories.csv,0fa649e161716526ab96af1007886e8ad0dd18943ed253745653f431923d261f,direct,4,44,money_laundering:34; terrorist_financing:9; corruption_bribery:1,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\Fentanyl%20Advisory%20FINAL%20508.pdf,Fentanyl%20Advisory%20FINAL%20508.pdf,FIN-2019-A006,Advisory,FinCEN Advisory FIN-2019-A006,08/21/2019,fincen_advisories.csv,078ed535e3c0c53029f0040fd085b3d82de608ba48b472579bd5b1da574c7e7d,direct,18,79,money_laundering:43; terrorist_financing:15; trade_based_money_laundering:15; structuring_smurfing:5; sanctions_evasion:1,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\fin-2008-a002.pdf,fin-2008-a002.pdf,FIN-2008-A002,Advisory,FinCEN Advisory – FIN-2008-A002,03/20/2008,fincen_advisories.csv,c7bf4e1d725860e50854988fc7c47af524f28a4de517ee9bb42712c90e72f011,direct,4,16,money_laundering:9; terrorist_financing:7,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\fin-2008-a003.pdf,fin-2008-a003.pdf,FIN-2008-A003,Advisory,FinCEN Advisory – FIN-2008-A003,03/20/2008,fincen_advisories.csv,850e3930443e60f68117eee340cca2b7706a41ef93470dce07af7f9f1f8064b0,direct,2,14,money_laundering:13; terrorist_financing:1,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\fin-2008-a005.pdf,fin-2008-a005.pdf,FIN-2008-A005,Advisory,FinCEN Advisory – FIN-2008-A005,04/28/2008,fincen_advisories.csv,28b724131d116e6a0f2d537aa577b25b9aec6d9dd12c56950fb90d9b70f84e6a,direct,1,4,money_laundering:4,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\fin-2008-g004.pdf,fin-2008-g004.pdf,FIN-2008-G004,Advisory,FinCEN Guidance-FIN-2008-G004(Replaces 10/31/05 FAQs),03/20/2008,fincen_advisories.csv,db28a80bc8ee7d19d851ed5a54457d61aab06ed910cecf71208a03e83eab9c39,direct,11,61,money_laundering:59; terrorist_financing:2,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\fin-2008-g005.pdf,fin-2008-g005.pdf,FIN-2008-G005,Advisory,FinCEN Guidance-FIN-2008-G005,04/17/2008,fincen_advisories.csv,15cd6ce488b663503871d61fd3158824400da299656b4da8b3d0dcb828d313e0,direct,2,14,corruption_bribery:10; money_laundering:3; sanctions_evasion:1,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\fin-2008-g007.pdf,fin-2008-g007.pdf,FIN-2008-G007,Advisory,FinCEN Guidance-FIN-2008-G007,07/31/2008,fincen_advisories.csv,a23e69e48488cfd4b8fba74c81bc7f2e5639c15960effcbce279bd1175587e59,direct,4,8,money_laundering:6; terrorist_financing:2,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\fin-2008-g008.pdf,fin-2008-g008.pdf,FIN-2008-G008,Advisory,FinCEN Guidance-FIN-2008-G008,09/10/2008,fincen_advisories.csv,1cd8655b5ed7e7b77eb7a240c43e4d74bea7d51088830f379367035ff865e50d,direct,3,1,money_laundering:1,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\fin-2009-a001.pdf,fin-2009-a001.pdf,FIN-2009-A001,Advisory,FinCEN Advisory – FIN-2009-A001,04/06/2009,fincen_advisories.csv,ece81d6b429190c60cfefd427d262087516479f4510926621af275ef2af44c22,direct,4,9,money_laundering:3; sanctions_evasion:3; mortgage_financial_aid_fraud:2; terrorist_financing:1,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\fin-2009-a002.pdf,fin-2009-a002.pdf,FIN-2009-A002,Advisory,FinCEN Advisory – FIN-2009-A002,06/18/2009,fincen_advisories.csv,69402ff6a9272ea68efe305cf0cf71ac12a63338000d62916d8af18f3e32e25e,direct,3,10,sanctions_evasion:4; money_laundering:3; terrorist_financing:3,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\fin-2009-a003.pdf,fin-2009-a003.pdf,FIN-2009-A003,Advisory,FinCEN Advisory – FIN-2009-A003,07/01/2009,fincen_advisories.csv,135c71b0f7779d334c4621167fbf49e6eb0cd9825dc38792c0267a5793010243,direct,3,38,money_laundering:25; structuring_smurfing:11; terrorist_financing:2,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\fin-2009-a004.pdf,fin-2009-a004.pdf,FIN-2009-A004,Advisory,FinCEN Advisory – FIN-2009-A004,07/10/2009,fincen_advisories.csv,8237cbb6dd56d72217db6b0e89fa3f81bd580e556c6ee59c6ccfba60f31873ee,direct,3,34,money_laundering:27; terrorist_financing:7,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\fin-2009-a005.pdf,fin-2009-a005.pdf,FIN-2009-A005,Advisory,FinCEN Advisory – FIN-2009-A005,07/23/2009,fincen_advisories.csv,b655b9b592013fd11baa1ee5625c5c67250a014507fa471f2e5932d98bbbece2,direct,1,3,money_laundering:3,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\fin-2009-a006.pdf,fin-2009-a006.pdf,FIN-2009-A006,Advisory,FinCEN Advisory – FIN-2009-A006,10/14/2009,fincen_advisories.csv,d615b80def4b5c059c9efea88768282d6eefac33c32943179d85329490d5e42e,direct,6,18,money_laundering:16; sanctions_evasion:1; corruption_bribery:1,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\fin-2009-a007.pdf,fin-2009-a007.pdf,FIN-2009-A007,Advisory,FinCEN Advisory – FIN-2009-A007,10/29/2009,fincen_advisories.csv,dd0d5271be875e7b6ce7beb87295350c8fccb2a98cb9c107886b8fde7e498e11,direct,4,41,money_laundering:32; terrorist_financing:9,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\fin-2009-g001.pdf,fin-2009-g001.pdf,FIN-2009-G001,Advisory,FinCEN Guidance– FIN-2009-G001,04/27/2009,fincen_advisories.csv,8766646c11b1cbf8fd2d348152159c902fbea59095c1f92ede2cb79e4b63c8c1,direct,4,3,money_laundering:2; terrorist_financing:1,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\fin-2009-g002.pdf,fin-2009-g002.pdf,FIN-2009-G002,Advisory,FinCEN Guidance – FIN-2009-G002,06/16/2009,fincen_advisories.csv,cd79f7e7f735414799e16c88402b0b12ad64af8383ecb8475f6d2acb99bc81f2,direct,2,9,money_laundering:8; mortgage_financial_aid_fraud:1,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
